Organization Name,Industries,Headquarters Location,Description,Estimated Revenue,Operating Status,Founded Date,Contact Email,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly visit growth,Visit Duration Growth,Patents Granted,Visit Duration
GetMyKitaap,"E-Commerce, EBooks, EdTech, Education, Software","Jalandhar, Punjab, India",India’s best digital library solution startup,—,Active,2022,info@getmykitaap.com,Seed,"Commerce and Shopping, Content and Publishing, Education, Media and Entertainment, Software",2,"Abhinaba Das, Abhinaba Das",1-10,1,Seed,"$2,000","$2,000",—,—,—,—,—,—,—
Brandemic,"Advertising, Consulting, Digital Marketing, E-Commerce, Graphic Design, Marketing, UX Design, Web Design","Bengaluru, Karnataka, India",India’s leading online graphic design agency,—,Active,2020,info@brandemic.in,—,"Advertising, Commerce and Shopping, Design, Professional Services, Sales and Marketing",4,"Abhinav Agarwal, Akshay Naazare, Harsh Vijaykumar, Pranay Jain",11-50,—,—,—,—,—,—,"13,034",33.74%,18.97%,—,370
Blod.in,"Health Care, Hospital","Chennai, Tamil Nadu, India",Connecting hospitals and blood banks in the hematology department,Less than $1M,Active,2021,—,Seed,Health Care,—,—,11-50,1,Seed,—,—,—,—,93,-4.12%,—,—,0
Sheshi AI,"Artificial Intelligence (AI), FinTech, SaaS, Software","Bengaluru, Karnataka, India",FinTech startup using AI for financial reporting and analytics,—,Active,2021,digital@sheshi.ai,—,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",1,Ganesh Kumar B N,11-50,—,—,—,—,—,—,465,889.36%,—,—,58
Prabhu Bhakti,E-Commerce,"Gurgaon, Haryana, India",D2C brand creating religious products for youth,—,Active,2021,samast@prabhubhakti.in,Seed,Commerce and Shopping,1,Samast Ahlawat,11-50,1,Seed,—,—,Growing,—,"1,491",-5.93%,4700%,—,144
Fydo,"Advertising, Business Development, E-Commerce, Marketing","Bhubaneswar, Orissa, India",AdTech startup sharing information on deals and events from local shops,—,Active,2020,support@fydo.in,Seed,"Advertising, Commerce and Shopping, Professional Services, Sales and Marketing",3,"Dharam Chand Patnaik, SATYAJEET PATNAYAK, Sinchan Mishra",11-50,1,Seed,—,—,—,—,"29,335",—,—,—,600
GetReplies,—,"Bangalore, Karnataka, India",AI to target 10% response rate from email campaigns,—,Active,2021,marketing@getreplies.ai,Seed,—,2,"Arjun Shenoy, Naveen Prabhu",11-50,1,Seed,—,—,—,—,—,—,—,—,1
Avinyaa EdTech,"EdTech, SaaS","Surat, Gujarat, India",Edtech startup focused on emerging technology,—,Active,2023,info@avinyaaedtech.com,—,"Education, Software",1,Vinet Kakadea,1-10,—,—,—,—,—,—,—,—,—,—,—
NbliK,"Communities, Generative AI, Information Services, Internet, Knowledge Management","New Delhi, Delhi, India","All-in-one platform for creators, clubs, and NGOs",$1B to $10B,Active,2021,contact@nblik.com,Seed,"Administrative Services, Artificial Intelligence (AI), Community and Lifestyle, Information Technology, Internet Services, Other",1,Abhishek Yadav,11-50,2,Seed,—,—,—,—,—,—,—,—,—
Everheal,"Health Care, Personal Health, Wellness","Mumbai, Maharashtra, India",Health-tech startup for female assistance during pregnancy,—,Active,2023,info@everheal.com,—,Health Care,—,—,11-50,2,—,—,—,—,—,—,—,—,—,—
Airdonex,"Aerospace, Air Transportation, Drones, Software","Chennai, Tamil Nadu, India",Creating software & hardware for aviation industry demands,—,Active,2021,hello@airdonex.com,—,"Consumer Electronics, Consumer Goods, Hardware, Science and Engineering, Software, Transportation",2,"Chandru Rajendran, Cibhi Padmanaban",11-50,—,—,—,—,—,—,354,32.09%,-87.50%,—,4
YE Stack,"Advice, Venture Capital","Kochi, Kerala, India",Global venture studio co-founder for scalable startups,$1M to $10M,Active,2023,hello@yestack.io,—,"Financial Services, Lending and Investments, Media and Entertainment",2,"Anand Davichan, Arun Antony",11-50,—,—,—,—,—,—,107,10.31%,—,—,0
StitchMe,E-Commerce,"Gurgaon, Haryana, India","Customizable, perfectly fitted clothing with 24-hour delivery",—,Active,2021,stitchmeggn@gmail.com,—,Commerce and Shopping,1,Pooja Chauhan,11-50,—,—,—,—,—,—,—,—,—,—,—
LawSeek,Legal Tech,"Hyderabad, Andhra Pradesh, India",Startups’ legal AI operating system,—,Active,2023,contact@lawseek.ai,Seed,Professional Services,2,"Harsh Panwar, Rajesh Vaishnav",11-50,1,Seed,—,—,—,—,—,—,—,—,—
Karuvi,"Electronics, Mechanical Engineering","Chennai, Tamil Nadu, India",Manufactures power tools for mechanical engineering,—,Active,2022,—,—,"Consumer Electronics, Hardware, Science and Engineering",2,"Navaneethan Anand, Radha Vembu",11-50,1,—,—,—,—,—,434,10.71%,3920%,—,402
Rowstel,"Hospitality, Hotel, PropTech, Real Estate","Kozhikode, Kerala, India",India's First Long-Term Hotel,—,Active,2023,founder@rowstel.com,Seed,"Real Estate, Travel and Tourism",1,Sharhabeel (Abi) Parambil,1-10,1,Seed,—,—,—,—,—,—,—,—,451
CyberMind Works,"CRM, Mobile Apps, Software, Web Apps","Guindy, Tamil Nadu, India","CyberMind Works is a software company that offers CRM, mobile, and web application development services for startups, SMBs, and enterprises.",$1M to $10M,Active,2020,—,—,"Apps, Information Technology, Mobile, Sales and Marketing, Software",2,"Boopesh Mahendran, Jayasurya Jeyakodi",1-10,—,—,—,—,—,—,"1,688",-39.35%,-66.10%,—,180
ADVIZEINDIA.COM,"Accounting, Consulting, Digital Marketing, Legal, Management Consulting, Marketing, Professional Services","Delhi, Delhi, India",All India Business Management Consultant,—,Active,2023,info@Advizeindia.com,—,"Financial Services, Other, Professional Services, Sales and Marketing",—,—,11-50,1,—,—,—,—,—,510,-37.19%,—,—,25
Bondbazaar,"Financial Services, Impact Investing, Trading Platform","Bandra, Maharashtra, India","Bondbazaar offers an integrated platform for trading bonds, providing access to BSE, NSE, and RFQ platforms.",$1M to $10M,Active,2020,connect@bondbazaar.com,—,"Financial Services, Lending and Investments",1,Suresh Darak,51-100,—,—,—,—,—,—,"7,018",-41.39%,-48.63%,—,263
LaunchList,—,"Bangalore, Karnataka, India",Build a viral waiting list of early users,—,Active,2022,hello@getlaunchlist.com,—,—,1,Navneet Pratap Singh,1-10,—,—,—,—,—,—,"42,423",236.56%,162.35%,—,223
VENTTUP,"B2B, Infrastructure, Manufacturing, Supply Chain Management","Chennai, Tamil Nadu, India",Venttup is a B2B startup that specializes in MSMEs and infrastructure.,—,Active,2021,sales@venttup.com,Seed,"Manufacturing, Other, Transportation",3,"Joseph Panakkal, Mahammad Wasim Ankli, Sandeep Nair",1-10,1,Seed,—,—,—,—,347,102.92%,111.11%,—,19
Flavum HealthTech,"Health Care, Hospital","New Delhi, Delhi, India",Flavum HealthTech is a health-tech startup that promises to help individuals diagnose cancer early and provide support throughout treatment.,—,Active,2022,abhijay@flavumhealth.com,—,Health Care,2,"Aaron Madolora, Abhijay Rao Vemulapalli",11-50,—,—,—,—,—,—,—,—,—,—,—
Neurostellar,"Fitness, Health Care, Mental Health, Neuroscience, Wellness","Taramani, Tamil Nadu, India",Neurostellar is a deep technology startup that envisions to interface brain and machines for the betterment of humanity.,—,Active,2021,info@neuro-stellar.com,Seed,"Biotechnology, Health Care, Science and Engineering, Sports",—,—,1-10,1,Seed,—,—,—,—,417,—,—,—,0
MOJO STARTUP,"Consulting, Financial Services","Mumbai, Maharashtra, India",—,—,Active,2022,connect@mohitsureka.com,—,"Financial Services, Professional Services",1,Mohit Sureka,11-50,—,—,—,—,—,—,279,-96.21%,-70.19%,—,93
MVPRockets,Software,"Bengaluru, Karnataka, India","MVPRockets is a Software Development company located in Bengaluru South, Karnataka",—,Active,2020,launch@mvprockets.com,—,Software,2,"Giridharan Natarajan, M.V. Praveen",1-10,—,—,—,—,—,—,845,45.19%,—,—,222
Steptika,"E-Learning, EdTech, Education","Gorakhpur, Uttar Pradesh, India",Steptika is an Edtech startup company.,"$10,000",Closed,2021,support@steptika.com,Seed,"Education, Software",1,Ankit Yadav,1-10,1,Seed,"$10,000","$10,000",—,—,—,—,—,—,—
GAIA SPACE,"Aerospace, Manufacturing, Space Travel","Port Blair, Andaman and Nicobar Islands, India",Space Research and Technology,—,Active,2024,founder@gaiaspace.co.in,—,"Manufacturing, Science and Engineering, Transportation",1,SUBHAM HALDAR,1-10,—,—,—,—,—,—,—,—,—,—,—
VIZON,"Augmented Reality, Consumer Electronics, Electronics, Gaming, Virtual Reality","Dehra Dun, Uttarakhand, India","DeepTech - XR, AI",—,Active,2021,hello@vizon.tech,—,"Consumer Electronics, Gaming, Hardware, Software",1,Nikhil Sharma,1-10,—,—,—,—,—,—,"10,130",2.14%,-75.32%,—,272
Xaigi Technology,"Analytics, Artificial Intelligence (AI), Consulting, Developer Platform, Machine Learning, Software, Software Engineering","Noida, Uttar Pradesh, India",Xaigi Technology is an AI consulting company that offers digital transformation by building disruptive technology products using AI and ML.,—,Active,2021,hello@xaigi.tech,—,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",1,Tarun Tyagi,11-50,—,—,—,—,—,—,"2,189",-13.20%,-23.86%,—,"1,034"
Innovher,"Consulting, Service Industry","Jaipur, Rajasthan, India",Innovher is a startup accelerator that supports startups in navigating their venture-building journey with a comprehensive 360° approach.,—,Active,2023,info@innovher.com,Early Stage Venture,"Other, Professional Services",2,"Digvijay Singh, Shweta Choudhary",1-10,—,—,—,—,—,—,—,—,—,—,—
CoinDhan.com,FinTech,"Gurgaon, Haryana, India",CoinDhan is a bootstrapped startup that aims to revolutionize the Indian crypto market with innovative products.,—,Active,2021,sagar@wollfish.com,—,Financial Services,1,Sagar Goyal,11-50,—,—,—,—,—,—,"1,102",-55.40%,140%,—,84
ZAi-Fi,"Artificial Intelligence (AI), EdTech, Generative AI","Coimbatore, Tamil Nadu, India","An AIaaS EdTech startup revolutionizing evaluation by automating assessments and analytics for data-driven, personalized learning",—,Active,2024,contact@zai-fi.com,—,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",2,"Ganpat Singh N, Rishi Bharathi B T",11-50,—,—,—,—,—,—,—,—,—,—,—
Connect Link,Software,"Bangalore, Karnataka, India",Become the go-to platform where startups never feel stuck.,—,Active,2024,hello@myconnectlink.com,—,Software,1,—,1-10,—,—,—,—,—,—,"4,636",—,—,—,82
Ellenox,"Finance, Financial Services, IT, Software, VC","Bangalore, Karnataka, India","Ellenox is a venture studio, supporting early-stage startups and providing full-stack development services.",—,Active,2021,hey@ellenox.com,—,"Financial Services, IT, Lending and Investments, Software",2,"Ankur Bagchi, Prashanth Duggishetti",11-50,—,—,—,—,—,—,"1,428",194.43%,-88.84%,—,—
Airbots Aerospace,"Agriculture, AgTech, Drones, Manufacturing","Mumbai, Maharashtra, India",AirBots Aerospace is an Agri-tech startup aimed at developing equipment and providing services for intelligent agriculture.,—,Active,2022,support@airbots.co.in,Seed,"Agriculture, Hardware, Consumer Goods, Manufacturing",—,—,1-10,1,—,—,—,Growing,—,"2,048",884.62%,3200%,—,—
Startup Pedia,"Digital Media, Marketing","Noida, Uttar Pradesh, India",Media-tech Company,—,Active,2019,enquiry@startuppedia.in,—,"Media and Entertainment, Sales and Marketing",3,"Asif Alam, Jameel Akhter, Noor Alam",11-50,—,—,—,—,—,—,—,—,—,—,—
Armory,"Manufacturing, Software","Gurgaon, Haryana, India",Armory is a defence tech startup building systems to defend India and its allies against modern threats.,—,Active,2024,aditya@armoryshield.com,—,"Manufacturing, Software",1,Amardeep Singh,11-50,—,—,—,—,—,—,237,238.57%,-88.89%,—,—
Adneto,FinTech,"Delhi, Delhi, India",Rewards & Commerce Tech Stack,—,Active,2023,info@adneto.in,—,Financial Services,2,"Kushal Bhagat, Nitesh Agarwal",11-50,—,—,—,—,—,—,—,—,—,—,—
Acemoney,"Financial Services, FinTech, IT, Prepaid Cards","Cochin, Kerala, India","Wallets Service, Payments & Collections, NeoBanking Services, Wearable Payment Solutions & Prepaid Cards, UPI Services",$1M to $10M,Active,2020,jimmin@acemoney.in,—,"Financial Services, IT",2,"Jimmin James Kurichiyil, Nimisha J Vadakkan",51-100,—,—,—,—,—,—,"4,918",-53.49%,-28.50%,—,—
Areno Innovations Pvt Ltd,"Artificial Intelligence (AI), Fitness, Health Care, Software, Wellness","Bengaluru, Karnataka, India","For the first time get paid to do workouts with Areno !! Workout regularly, participate in competitions and win rewards.",—,Active,2022,info@areno.in,—,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software, Sports",—,—,1-10,—,—,—,—,—,—,93,-45.61%,—,—,19
Startup Story,"Consulting, Journalism, Market Research, Media and Entertainment, Publishing","New Delhi, Delhi, India",AI-Powered Startup Media House.,—,Active,2021,abiitdelhi@gmail.com,—,"Content and Publishing, Data and Analytics, Design, Media and Entertainment, Professional Services",1,Anil Bakshi,11-50,1,Seed,—,—,—,—,"44,160",6.21%,-87.32%,—,36
Chatbot.team,Chatbot,"Gurgaon, Haryana, India","Boost marketing, sales, & operations efficiency. Cut costs, enhance customer satisfaction & support.",—,Active,2023,ashish@chaatbot.team,—,Software,1,Ashish Yadav,11-50,—,—,—,—,—,—,"104,796",-44.27%,-36.27%,—,585
Being,Mental Health,"Bengaluru, Karnataka, India","A mental health startup building ""Google maps for everyone's mental health""",—,Active,2020,varun@being.app,—,Health Care,—,—,1-10,1,Seed,—,—,—,—,623,-31.46%,214.29%,—,22
ACT Grants,"Non Profit, Venture Capital","Bangalore, Karnataka, India",ACT Grants is a not-for-profit organization that aims to support startups and also provides assistance to sectors like education and health.,$1M to $10M,Active,2020,—,—,"Financial Services, Lending and Investments, Other, Social Impact",3,"Dhruvil Sanghvi, Maya Chandrasekaran, Payal Banerjee",51-100,—,—,—,—,—,—,"1,171",-17.07%,122.22%,—,20
Epiction,"Information Technology, Software, Video Games","Vadodara, Gujarat, India","Epiction Interactive is a software startup specializing in creative products such as video games, AI tools, Visual novels, and more.",—,Active,2022,suport@epiction.co,—,"Gaming, Information Technology, Software",1,Gyan Prabhat,1-10,—,—,—,—,—,—,—,—,—,—,—
Arraykart,"Agriculture, Artificial Intelligence (AI)","Aligarh, Rajasthan, India",A DPIIT recognized Agri-tech startup working on e-commerce and precision farming.,—,Active,2021,yourfriends@arraykart.com,—,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",—,—,1-10,1,Seed,—,—,—,—,93,—,—,—,11
ERP Peers,"Business Process Automation (BPA), CRM, Enterprise Resource Planning (ERP)","Bangalore, Karnataka, India",India’s leading NetSuite ERP & Celigo solutions provider.,—,Active,2023,biz@erppeers.com,—,"Information Technology, Sales and Marketing, Software",—,—,11-50,—,—,—,—,—,—,"1,439",150.26%,-25.89%,—,8
Tntra,"Consulting, E-Commerce, FinTech, Health Care, Information Technology, Infrastructure, Manufacturing, Professional Services, Software Engineering, Web Development","Vadodara, Gujarat, India",Tntra provides software services and product engineering to partners – from new economy startups to large corporations – around the world.,$1M to $10M,Active,2021,sales@tntra.io,—,"Commerce and Shopping, Financial Services, Health Care, Information Technology, Manufacturing, Other, Professional Services, Science and Engineering, Software",—,—,101-250,—,—,—,—,—,—,"2,138",-50.14%,202.44%,—,372
FarmOR,"Agriculture, AgTech, Information Technology","Hyderabad, Andhra Pradesh, India",FarmOR is an agri-tech startup that bridges the supply chain gaps in agriculture.,—,Active,2021,contact@farmor.ag,—,"Agriculture and Farming, Information Technology",2,"Raja Sekhar Duggempudi, Sai Teja Duggempudi",11-50,1,Seed,—,—,—,—,—,—,—,—,—
